feature,rho,pval,abs_rho,subgroup
q_template_count,0.012321859895767406,0.4646994179833298,0.012321859895767406,Referent (Q2)
q_link_count,0.011848310338680777,0.48203707120382355,0.011848310338680777,Referent (Q2)
q_is_indented,0.011188946850939402,0.5067520536461709,0.011188946850939402,Referent (Q2)
q_poly_feature_politeness_==Apologizing==,0.008110338670375512,0.63035649442295,0.008110338670375512,Referent (Q2)
q_mentions_wp,0.0026012562893662724,0.8773395418138172,0.0026012562893662724,Referent (Q2)
q_poly_feature_politeness_==1st_person==,0.0018746038231307904,0.9114359693430325,0.0018746038231307904,Referent (Q2)
q_vader_neg,-0.1162799986760935,2.6734686356837373e-17,0.1162799986760935,Normative (Q4)
q_poly_feature_politeness_==1st_person==,-0.11248483197006325,2.789434804202026e-16,0.11248483197006325,Normative (Q4)
q_poly_feature_politeness_==1st_person_start==,-0.1013106504106084,1.7734536820622278e-13,0.1013106504106084,Normative (Q4)
q_poly_feature_politeness_==Direct_question==,0.10092001768203897,2.195678346908174e-13,0.10092001768203897,Normative (Q4)
q_link_count,0.08867635825478407,1.175253150324404e-10,0.08867635825478407,Normative (Q4)
q_vader_neu,0.08029631144819067,5.490088171569042e-09,0.08029631144819067,Normative (Q4)
q_tb_polarity,0.07193673894150608,1.7623686303541762e-07,0.07193673894150608,Normative (Q4)
q_tb_subjectivity,0.06241597467399939,5.895204785220316e-06,0.06241597467399939,Normative (Q4)
q_poly_feature_politeness_==Please==,-0.06162472391795519,7.728336776041365e-06,0.06162472391795519,Normative (Q4)
q_poly_feature_politeness_==Direct_start==,0.056560075010810756,4.054030080328307e-05,0.056560075010810756,Normative (Q4)
q_poly_feature_politeness_==HASHEDGE==,0.04761143882019739,0.0005519307549847146,0.04761143882019739,Normative (Q4)
q_poly_feature_politeness_==Factuality==,0.04566952258607829,0.0009224729235675808,0.04566952258607829,Normative (Q4)
q_vader_compound,0.04441888454803425,0.001271470799335456,0.04441888454803425,Normative (Q4)
q_poly_feature_politeness_==Indirect_(greeting)==,0.04288503054143083,0.0018647669116626086,0.04288503054143083,Normative (Q4)
q_poly_feature_politeness_==SUBJUNCTIVE==,0.03793518969716136,0.0059301533566572485,0.03793518969716136,Normative (Q4)
q_poly_feature_politeness_==Deference==,0.03109010131080326,0.024143034786898332,0.03109010131080326,Normative (Q4)
q_body_char_len,0.03011043642640715,0.02897979179472097,0.03011043642640715,Normative (Q4)
q_persp_toxicity,-0.029912647148799917,0.030051556123384296,0.029912647148799917,Normative (Q4)
q_mentions_wp,0.029326621853713205,0.03342919731537804,0.029326621853713205,Normative (Q4)
q_poly_feature_politeness_==INDICATIVE==,0.027845704227958398,0.043440972626025254,0.027845704227958398,Normative (Q4)
q_body_word_count,0.024353299743429823,0.07738140951177211,0.024353299743429823,Normative (Q4)
q_template_count,-0.024181090279698593,0.07950011959139776,0.024181090279698593,Normative (Q4)
q_persp_insult,-0.023833482154852762,0.08392040573243725,0.023833482154852762,Normative (Q4)
q_poly_feature_politeness_==Apologizing==,0.023751169676722993,0.08499572622694251,0.023751169676722993,Normative (Q4)
q_persp_threat,-0.022686387142217282,0.09993468651942783,0.022686387142217282,Normative (Q4)
q_has_sig,0.021015969614402396,0.1275068967099824,0.021015969614402396,Normative (Q4)
q_persp_identity_attack,0.019457572162223,0.158251903894049,0.019457572162223,Normative (Q4)
q_poly_feature_politeness_==1st_person_pl.==,-0.019118854210753593,0.16562221751843853,0.019118854210753593,Normative (Q4)
q_poly_feature_politeness_==2nd_person==,-0.018423247350913028,0.18156312514714973,0.018423247350913028,Normative (Q4)
q_persp_severe_toxicity,-0.017057885034200918,0.21611169874493938,0.017057885034200918,Normative (Q4)
q_mentions_help,0.016877401765748316,0.22101097751559456,0.016877401765748316,Normative (Q4)
q_has_unsigned,-0.01657813869117186,0.22930907030147224,0.01657813869117186,Normative (Q4)
q_poly_feature_politeness_==HASPOSITIVE==,0.014861251442599387,0.28119964799995734,0.014861251442599387,Normative (Q4)
q_persp_sexually_explicit,0.014241380120551435,0.3017559281757673,0.014241380120551435,Normative (Q4)
q_poly_feature_politeness_==Indirect_(btw)==,0.013929168859382985,0.3124790908329623,0.013929168859382985,Normative (Q4)
q_poly_feature_politeness_==Please_start==,0.012235104114031897,0.37497999409070726,0.012235104114031897,Normative (Q4)
q_poly_feature_politeness_==Hedges==,-0.01080184237544898,0.4334805907574998,0.01080184237544898,Normative (Q4)
q_has_url,0.01069106537433573,0.4382117085914391,0.01069106537433573,Normative (Q4)
q_persp_flirtation,0.010034532960098283,0.4668533018334944,0.010034532960098283,Normative (Q4)
q_poly_feature_politeness_==Gratitude==,0.007196396618803652,0.6018043349462994,0.007196396618803652,Normative (Q4)
q_is_indented,0.006478364304649245,0.6385392236657338,0.006478364304649245,Normative (Q4)
q_vader_pos,-0.006044812907940126,0.661165166968769,0.006044812907940126,Normative (Q4)
q_poly_feature_politeness_==HASNEGATIVE==,0.004754281367461062,0.7302986174176754,0.004754281367461062,Normative (Q4)
q_poly_feature_politeness_==2nd_person_start==,-0.0031918069549379427,0.8169775698429824,0.0031918069549379427,Normative (Q4)
q_persp_profanity,-0.0026484167152752776,0.8477160594291862,0.0026484167152752776,Normative (Q4)
q_poly_feature_politeness_==Indirect_(greeting)==,-0.35358595182681307,2.2326732013461225e-121,0.35358595182681307,Non-substantive
q_body_word_count,0.3095624503289948,4.991952120616174e-92,0.3095624503289948,Non-substantive
q_body_char_len,0.29045401408256233,9.36928901314082e-81,0.29045401408256233,Non-substantive
q_poly_feature_politeness_==1st_person==,0.22824685853985258,9.657100637045055e-50,0.22824685853985258,Non-substantive
q_poly_feature_politeness_==2nd_person==,-0.18193654127040804,6.170374160418076e-32,0.18193654127040804,Non-substantive
q_poly_feature_politeness_==1st_person_start==,0.15718305338270902,3.6949185636722544e-24,0.15718305338270902,Non-substantive
